词语,全拼音,区的主语,后名,后的名,主宾,兼类,备注
半自动,ban4zi4dong4,,,,,,~比全自动便宜
边远,bian1yuan3,否,,,否,,~地区
编外,bian1wai4,,,,否,,~人员
便民,bian4min2,否,,否,否,,~措施/~服务
便携式,bian4xie2shi4,,,,,,~计算机
彩色,cai3se4,,,,,,~电视/~照片
草绿,cao3lv4,,,,,,~色/~我不喜欢
长篇,chang2pian1,,,否,,,"~小说/~的文章,内容必须新颖/少数情况下可加""的"""
长期,chang2qi1,,,,,d,"短期可以,~不行"
长途,chang2tu2,否,,,,,打~/~汽车票价降低了/~的旅行是很辛苦的
常务,chang2wu4,否,,否,否,,~委员
超级,chao1ji2,否,,否,否,,~豪华卧车/~明星
程控,cheng2kong4,,,否,否,,~电话/~设备
初等,chu1deng3,否,,否,否,,~教育
初级,chu1ji2,,,,,,~的没意思/英语水平为~
次等,ci4deng3,,,,,,~的便宜好多/买了一套~的茶具
次要,ci4yao4,否,,,否,,~问题
从业,cong2ye4,否,,否,否,,~人员
大红,da4hong2,,,,,,"我不喜欢~,而喜欢紫红"
大型,da4xing2,,,,否,,"~电站/~的企业,首先要抓管理"
单轨,dan1gui3,,,,,,~铁路
单面,dan1mian4,,,,否,,~复写纸
单色,dan1se4,,,,否,,~光/这一束光是~的
单向,dan1xiang4,,,,否,d,~开关/~导电(d)
淡红,dan4hong2,,,,,,
低频,di1pin2,否,,否,否,,~信号
电动,dian4dong4,,,,,,~玩具/~比手动快多了
定期,ding4qi1,,,,,d,存~/~刊物
定向,ding4xiang4,,,,否,d,~台/~研究生
独资,du2zi1,,,,,,~公司/这里有两家公司是~
短篇,duan3pian1,,,否,,,~文章
短期,duan3qi1,,,,,d,~行为/~出差(d)
短途,duan3tu2,否,,,,,~汽车
多边,duo1bian1,否,,否,否,,~贸易
鹅黄,e2huang2,,,,,,
额外,e2wai4,,,,否,d,~的我们不管/~开支很大/~加重农民的负担(d)
恶性,e4xing4,,,,,,"(肿瘤)良性好治,~不好治"
反面,fan3mian4,,,,否,n,"~教员/~的事例/例子需要有正面的,也需要有~的"
仿生,fang3sheng1,否,,否,否,,~技术
仿宋,fang3song4,否,,否,,,~字/~比黑体好看
粉白,fen3bai2,,,,,,
粉红,fen3hong2,,,,,,
高等,gao1deng3,否,,否,否,,~学府/~植物
高寒,gao1han2,否,,否,否,,~植物/~地带
高能,gao1neng2,否,,否,否,,~物理
高频,gao1pin2,否,,否,否,,~信号
高射,gao1she4,否,,否,否,,~机关枪
高效,gao1xiao4,否,,,否,,~杀虫剂
公共,gong1gong4,否,,,否,,~福利/~道德/~的财物
公有,gong1you3,否,,,否,,~财产
古典,gu3dian3,,,,否,,~的不容易看懂/音乐我喜欢~的
固有,gu4you3,否,,,否,,~文化/日本~的汉字不多
盥洗,guan4xi3,否,,否,否,,~用具
光电,guang1dian4,否,,否,否,,~效应
国产,guo2chan3,,,,,,"家用电器方面,~的比进口的便宜/~电视机"
国营,guo2ying2,,,,,,私营改为~/~商店/~的东西比较可靠
黑白,hei1bai2,,,,,,~电影
后备,hou4bei4,否,,,,,留有~/~力量
后起,hou4qi3,否,,,否,,~的好手
候补,hou4bu3,,,,否,,"~委员/~的名单,我没见到"
混纺,hun4fang3,,,,,,~的结实/~布/我喜欢~
活期,huo2qi1,,,,,,~存款
机电,ji1dian4,否,,否,否,,~专业
急性,ji2xing4,,,,,,"~好治,慢性不好治/~的疾病往往好治/~病"
加急,jia1ji2,否,,否,,,~电报/~业务/我想拍~
甲等,jia3deng3,,,,,,~的坐位比乙等的贵很多/~助学金/评上~
甲级,jia3ji2,,,,,,~品/~排球队联赛
酱紫,jiang4zi3,,,,,,~色
金,jin1,,,,否,,~耳环
精装,jing1zhuang1,,,,,,~书/我买~
旧式,jiu4shi4,,,,,,~衣服
巨额,ju4e2,否,,,否,,~利润/~的贷款
巨幅,ju4fu2,否,,,否,,~标语/~的画像
巨型,ju4xing2,否,,,否,,~计算机/~的轮船
绝密,jue2mi4,,,,否,,这文件是~的
军用,jun1yong4,,,,否,,"~的贵,民用的便宜/~物资"
科普,ke1pu3,否,,否,否,,~常识
空心,kong1xin1,,,,,v,~球/这棵树~了(v)
老式,lao3shi4,,,,,,~汽车
离心,li2xin1,否,,否,否,,~作用/~力
历次,li4ci4,否,,否,否,,在~战斗中/~运动
立式,li4shi4,,,,,,~机箱
立体,li4ti3,,,,,d,~电影/~几何/~绿化(d)
良性,liang2xing4,,,,,,~的问题不大
劣等,lie4deng3,,,,否,,~货
劣质,lie4zhi4,,,,否,,~产品/~的食品不能吃
烈性,lie4xing4,,,,否,,"~炸药/~的酒,不能多喝"
临床,lin2chuang2,否,,否,否,d,~经验
临界,lin2jie4,否,,否,否,,~角/~温度
孪生,luan2sheng1,否,,否,,,他俩是~/~兄弟
裸体,luo3ti3,,,,,,~画
麻纺,ma2fang3,,,,,,~的布结实
慢性,man4xing4,,,,,,~的疾病不好治
毛纺,mao2fang3,,,,,,~厂
棉纺,mian2fang3,,,,,,~工业
民办,min2ban4,,,,,,由官办改为~
民事,min2shi4,否,,否,否,,~权利/~案件
母系,mu3xi4,否,,否,否,,~社会
内向型,nei4xiang4xing2,,,,,,"~经济/我国经济,由~转为外向型"
男,nan2,,,否,否,,~的就业容易/~公民
男式,nan2shi4,,,,,,~服装
嫩绿,nen4lv4,,,,,,~色/~的树叶
女,nv3,,,否,否,,~社员/~的就业很难
女式,nv3shi4,,,,,,~服装
平装,ping2zhuang1,,,,,,~书/~比精装便宜多了
前任,qian2ren4,否,,,否,,~校长/~的工作没做好
切身,qie4shen1,否,,,否,,~的体会/~利益
亲生,qin1sheng1,,,,否,,"~的,能不好吗?/~父母/~儿子"
青绿,qing1lv4,,,,,,
轻量级,qing1liang4ji2,,,,,,~举重运动员
轻型,qing1xing2,,,,否,,~材料/这几种材料属于~的
全盛,quan2sheng4,否,,否,否,,~时期
全天候,quan2tian1hou4,,,,否,,~的飞机安全/我乘的飞机是~的/~公路
人工,ren2gong1,,,,否,n,采用~的方法/~湖
日常,ri4chang2,否,,,否,,~杂事
日杂,ri4za2,否,,否,,,~商店/这个商店卖~
上等,shang4deng3,,,,,,~的衣料/~货/~比下等贵很多
深灰,shen1hui1,,,,,,
深蓝,shen1lan2,,,,,,
深色,shen1se4,,,,,,~衣服/我喜欢~
实心,shi2xin1,,,,,,~球
适龄,shi4ling2,,,,否,,~的都可以参加/~儿童
首任,shou3ren4,否,,否,否,,~行政长官
首要,shou3yao4,,,,否,,学习才是~的事/~任务
双面,shuang1mian4,,,,否,,~刺绣
双重,shuang1chong2,否,,,否,,~任务/~压迫
私营,si1ying2,,,,,,~比国营灵活
随身,sui2shen1,否,,,否,d,~保镖/~的行李不能多带
特等,te4deng3,,,,,,~比一等还好
特定,te4ding4,否,,,否,,~环境/~的历史条件
特级,te4ji2,,,,,,~的茶叶在那边/~教师/~的最好
特种,te4zhong3,否,,否,否,,~部队/~工艺
天然,tian1ran2,,,,否,,~煤气/~的冰
同步,tong2bu4,否,,否,否,v,~卫星
同等,tong2deng3,否,,否,否,d,~学力/~重要
头等,tou2deng3,否,,否,否,,~大事
头号,tou2hao4,否,,否,否,,~新闻
外来,wai4lai2,,,,否,,~妹子/~的民工真多
外向型,wai4xiang4xing2,,,,,,~经济
微量,wei1liang4,否,,,否,,~元素
微型,wei1xing2,,,,否,,~手表/这个发报机是~的
唯物,wei2wu4,否,,否,否,,~辩证法
唯心,wei2xin1,否,,否,否,,~主义
伪劣,wei3lie4,否,,,否,,~产品/~的东西
卫戍,wei4shu4,否,,否,否,,~司令部
无轨,wu2gui3,,,否,,,我乘~/~电车/~比有轨好
无机,wu2ji1,否,,否,否,,~化学
无名,wu2ming2,否,,,否,,~英雄/~的恐惧
无期,wu2qi1,否,,否,,,~徒刑
无线,wu2xian4,,,否,,,~电话/~比有线方便
无烟,wu2yan1,,,,否,,这种煤是~的/~工业
五彩,wu3cai3,否,,,否,,~球/~的人生
五金,wu3jin1,否,,否,否,,~商店/这里卖~商品
西式,xi1shi4,,,,,,~餐馆
下等,xia4deng3,,,,,,~仆役
现任,xian4ren4,否,,否,否,,~省长
现行,xian4xing2,否,,,否,,~制度
现役,xian4yi4,否,,否,否,,~军人
消防,xiao1fang2,否,,否,否,,~材料
小型,xiao3xing2,,,,否,,~的汽车/这台拖拉机是~的
新兴,xin1xing1,否,,,否,,~工业/~的城市
新型,xin1xing2,,,,否,,~的农民/~拖拉机
信托,xin4tuo1,否,,否,否,,~商店
杏红,xing4hong2,,,,,,
杏黄,xing4huang2,,,,,,~色
雄性,xiong2xing4,,,否,,,~花蕊
袖珍,xiu4zhen1,,,否,否,,~词典
野生,ye3sheng1,,,,否,,~动物/~的动物越来越少了/这盒人参是~的
业余,ye4yu2,,,,否,,~学校/~的时间
一贯,yi1guan4,否,,,否,d,~的作风/~主张国家不分大小(d)
医务,yi1wu4,否,,否,否,,~人员
异步,yi4bu4,否,,否,否,,~电机
银,yin2,,,,否,,~锁
银白,yin2bai2,,,,,,
银灰,yin2hui1,,,,,,~的西服
隐形,yin3xing2,,,,否,,~眼镜/~的价钱贵
应届,ying1jie4,,,,否,,~毕业生
硬性,ying4xing4,否,,,否,d,~的指标/~规定太多了
优等,you1deng3,,,,否,,~成绩
优质,you1zhi4,,,,否,,~的产品
有机,you3ji1,否,,否,否,,~化肥
有色,you3se4,否,,否,否,,~金属/~人种
有生,you3sheng1,否,,否,否,,~力量
有线,you3xian4,,,否,,,~电视
原版,yuan2ban3,,,,,,~书
远程,yuan3cheng2,否,,否,否,,~导弹/~航行
远洋,yuan3yang2,否,,否,否,,~轮船/~作业
枣红,zao3hong2,,,,,,
真正,zhen1zheng4,否,否,,否,d,"""后名""粘着/群众是~的英雄"
直辖,zhi2xia2,否,,否,否,,~市
中档,zhong1dang4,,,,,,~比高档经济、实用/~的就够了
中等,zhong1deng3,,,,,,成绩~/~身材/~的成绩
中级,zhong1ji2,,,否,,,日语~班
中篇,zhong1pian1,,,否,,,~小说
中式,zhong1shi4,,,,,,~帽子
重型,zhong4xing2,,,否,否,,~机械/这一门炮是~的
专项,zhuan1xiang4,否,,否,否,,~业务
自动,zi4dong4,,,否,否,d,~洗衣机/这台洗衣机是~的
