词语,全拼音,词性,句首,主语,宾语,谓语,定语,状语,补语,兼类,备注
阿谀奉承,e1yu2feng4cheng2,IV,,,宾,谓,,,,,这个人善于~
碍手碍脚,ai4shou3ai4jiao3,IV,,,,谓,,,,,"这个孩子喜欢跟着大家,~的"
安分守己,an1fen4shou3ji3,IV,,,宾,谓,定,状,,,你要~/~地过日子
按部就班,an4bu4jiu4ban1,IV,,,宾,谓,,状,,,工作需要~
昂首阔步,ang2shou3kuo4bu4,IV,,,,谓,,状,,,他们村~地前进
拔苗助长,ba2miao2zhu4zhang3,IV,,,宾,谓,定,,,,
百感交集,bai3gan3jiao1ji2,IV,,,,谓,定,状,,,"这件事终于办成了,母亲~"
百依百顺,bai3yi1bai3shun4,IV,,,宾,谓,定,,,,对孩子不能~/他是一个~的人
百折不挠,bai3zhe2bu4nao2,IV,,,,谓,定,状,,,
饱经风霜,bao3jing1feng1shuang1,IV,,,,谓,定,,,,他的脸上布满了~的皱纹
暴跳如雷,bao4tiao4ru2lei2,IA,,,,谓,定,状,补,,他经常~/气得~/~的样子
悲欢离合,bei1huan1li2he2,IN,,主,宾,,定,,,,~的故事/人有~
悲喜交集,bei1xi3jiao1ji2,IV,,,,谓,定,状,,,她~地看着丈夫
闭关自守,bi4guan1zi4shou3,IV,,主,宾,谓,定,,,,
避重就轻,bi4zhong4jiu4qing1,IV,,,宾,谓,,状,,,~地说了些无关紧要的话
遍体鳞伤,bian4ti3lin2shang1,IA,,,,谓,定,,补,,他被打得~/~的祖国
别有洞天,bie2you3dong4tian1,IV,,,宾,谓,,,,,"泰山风景,确实是~"
彬彬有礼,bin1bin1you3li3,IA,,,,谓,定,状,补,,~地说/他待人接物处处显得~
并驾齐驱,bing4jia4qi2qu1,IV,,,,谓,,,,,"两辆小汽车,在队伍前面~"
波澜壮阔,bo1lan2zhuang4kuo4,IV,,,,谓,定,,,,农民运动~
博古通今,bo2gu3tong1jin1,IV,,,,谓,定,,,,他是~的历史学家
不耻下问,bu4chi3xia4wen4,IV,,,宾,谓,定,,,,~的态度是值得提倡的
不辞劳苦,bu4ci2lao2ku3,IV,,,,谓,定,状,,,"他为大家工作~/她~的工作精神,值得大家学习"
不欢而散,bu4huan1er2san4,IA,,,,谓,定,,补,,闹得~/~的场面最好不要出现
不拘一格,bu4ju1yi1ge2,IV,,,宾,谓,,状,,,"大家自由谈论,形式可以~/~选拔人才"
不堪一击,bu4kan1yi1ji1,IV,,,,谓,定,,,,敌人~/~的队伍
不可磨灭,bu4ke3mo2mie4,IV,,,,谓,定,,,,这种精神~/建立了~的功勋
不劳而获,bu4lao2er2huo4,IV,,,宾,谓,定,,,,"~的钱,我们不要"
不毛之地,bu4mao2zhi1di4,IN,,主,宾,,,,,,改造~
不谋而合,bu4mou2er2he2,IV,,,,谓,定,状,,,咱们俩人~/两人~地说/我们两人有~的看法
不屈不挠,bu4qu1bu4nao2,IV,,,,谓,定,状,,,~地与敌人斗争/~的精神
不畏强暴,bu4wei4qiang2bao4,IV,,,,谓,定,,,,这小孩~
不义之财,bu4yi4zhi1cai2,IN,,主,宾,,,,,,~我们不要/有人利用手中的权攫取~
不着边际,bu4zhuo2bian1ji4,IA,,,,谓,定,状,补,,他说得~/~的事/~地说
不自量力,bu4zi4liang4li4,IV,,,宾,谓,定,状,,,不要~
步步为营,bu4bu4wei2ying2,IV,,主,,谓,定,状,,,~是我们的战略方针
残兵败将,can2bing1bai4jiang4,IN,,主,宾,,,,,,"剩下几个~,战斗力已全部丧失"
藏龙卧虎,cang2long2wo4hu3,IV,,,,谓,定,,,,北京大学是~的地方/高等学府~
插翅难飞,cha1chi4nan2fei1,IV,,,,谓,,,,,他~
长此以往,chang2ci3yi3wang3,ID,首,,,,,状,,,"~,后果不堪设想/~刻苦学习,将来一定会有成就"
长途跋涉,chang2tu2ba2she4,IV,,,宾,谓,,,,,红军经过~终于到达陕北/~来到北京
畅所欲言,chang4suo3yu4yan2,IV,,,宾,谓,定,状,,,希望大家~/~地说/也有~的时候
朝三暮四,zhao1san1mu4si4,IV,,,宾,谓,定,,,,这个人~/~的人不可信
趁热打铁,chen4re4da3tie3,IV,,,宾,谓,,,,,我军~把剩下的土匪消灭干净
诚心诚意,cheng2xin1cheng2yi4,ID,,,,,,状,,,他~地帮助你
驰名中外,chi2ming2zhong1wai4,IV,,,,谓,定,,,,这种产品~
赤胆忠心,chi4dan3zhong1xin1,IV,,,,谓,定,状,,,~地报效祖国/作者热情讴歌了这位~的民族英雄
赤手空拳,chi4shou3kong1quan2,IV,,,,谓,定,状,,,~地打了起来/他跟一个~的孩子打架
愁眉苦脸,chou2mei2ku3lian3,IV,,,,谓,定,状,,,他整天~
出尔反尔,chu1er3fan3er3,IV,,,宾,谓,,状,,,他~地说/你不能~
出生入死,chu1sheng1ru4si3,IV,,,,谓,定,状,,,这里同样是~的战场
触景生情,chu4jing3sheng1qing2,IV,,,宾,谓,,状,,,
川流不息,chuan1liu2bu4xi1,IV,,,,谓,定,,,,~的人群
垂手可得,chui2shou3ke3de2,IV,,,,谓,定,,,,这是一件~的东西
垂涎三尺,chui2xian2san1chi3,IV,,,,谓,定,,,,~的小狗
春意盎然,chun1yi4ang4ran2,IV,,,,谓,定,,,,
蠢蠢欲动,chun3chun3yu4dong4,IV,,,宾,谓,,,,,敌人正在~
从容不迫,cong1rong2bu4po4,IV,,,宾,谓,定,状,,,"他是那样~/他面对那么多记者,~地回答每一个问题"
粗制滥造,cu1zhi4lan4zao4,IA,,,,谓,定,,补,,做得~
措手不及,cuo4shou3bu4ji2,IA,,,,谓,,,补,,敌人~/打得他们~/把他们打得~
打得火热,da3de5huo3re4,IV,,,,谓,,,,,最近他们~
大动干戈,da4dong4gan1ge1,IV,,,宾,谓,,,,,"不需~/他们~,准备大打一场"
大公无私,da4gong1wu2si1,IV,,,宾,谓,定,,,,我们要~
大名鼎鼎,da4ming2ding3ding3,IV,,,,谓,定,,,,"他~,连小孩都知道他的名字"
大书特书,da4shu1te4shu1,IV,,,宾,谓,,,,,个人权威不要~/对自己的功劳~
大义凛然,da4yi4lin3ran2,IV,,,,谓,定,状,,,"~的样子/江姐在刑场上,~地高呼……"
大有作为,da4you3zuo4wei2,IV,,,宾,谓,定,,,,他一定会~/小李在这里~/~的青年
单刀直入,dan1dao1zhi2ru4,IV,,,宾,谓,定,状,,,"~地说/他分析问题~/~的话语,句句刺中要害"
单枪匹马,dan1qiang1pi3ma3,IV,,,,谓,,状,,,~闯了进去
胆战心惊,dan3zhan4xin1jing1,IV,,,,谓,定,状,,,"他~,一句话也说不出/人们见到这个场面,个个~"
当之无愧,dang1zhi1wu2kui4,IV,,,,谓,定,状,,,他是~的优秀教师
盗名欺世,dao4ming2qi1shi4,IV,,,宾,谓,定,,,,"不应该~/~的人,不会有好下场"
得寸进尺,de2cun4jin4chi3,IV,,,宾,谓,定,状,,,~的做法，不得人心/~地提出了无理要求
得意忘形,de2yi4wang4xing2,IV,,,宾,谓,定,状,,,希望你不要~
低三下四,di1san1xia4si4,IN,,,宾,,定,状,,,"人,不能~(的)/~的样子让人看不起"
地久天长,di4jiu3tian1chang2,IV,,,,谓,,,,,我们的友谊~
颠倒是非,dian1dao3shi4fei1,IV,,,宾,谓,定,状,,,~地说
颠三倒四,dian1san1dao3si4,IA,,,,谓,定,状,补,,"~地重复若干遍/他说得~,别人都听不懂"
喋喋不休,die2die2bu4xiu1,IV,,,宾,谓,定,状,,,这个人遇到事情喜欢~/~的诉说/他又~地唠叨开了
顶天立地,ding3tian1li4di4,IV,,,,谓,定,状,,,~地挺立在东方/他是一位~的男子汉
丢盔弃甲,diu1kui1qi4jia3,IA,,,,谓,定,状,补,,"把敌人打得~/敌人~地往回逃命/看到敌人~的场面,大家可高兴呢!"
东倒西歪,dong1dao3xi1wai1,IV,,,,谓,定,状,,,门口只有几辆~的自行车
斗志昂扬,dou4zhi4ang2yang2,IV,,,,谓,定,状,,,他们个个~/他们~地参加劳动/一群~的女兵
独断专行,du2duan4zhuan1xing2,IV,,,宾,谓,定,状,,,工作，不能~/~的作风
度日如年,du4ri4ru2nian2,IV,,,宾,谓,定,状,,,真是~/他有~的感觉
堆积如山,dui1ji1ru2shan1,IV,,,,谓,定,,,,市场上的东西~
多多益善,duo1duo1yi4shan4,IV,,,,谓,,,,,"""你们需要多少材料?"",""~"""
恩将仇报,en1jiang1chou2bao4,IV,,,宾,谓,定,,,,"你不能~/~的做法,是不道德的行为"
恩重如山,en1zhong4ru2shan1,IV,,,,谓,,,,,"师傅~,弟子永生不忘"
发愤图强,fa1fen4tu2qiang2,IV,,,宾,谓,,状,,,~地学习
翻山越岭,fan1shan1yue4ling3,IV,,,,谓,,,,,他们~去追赶敌人
反复无常,fan3fu4wu2chang2,IA,,,宾,谓,定,,补,,做决策不能~/这个人~/他表现得~
泛滥成灾,fan4lan4cheng2zai1,IV,,,,谓,,,,,"塑料口袋太多,~"
放虎归山,fang4hu3gui1shan1,IV,,主,宾,谓,定,,,,~是很危险的事/这是~的做法
放任自流,fang4ren4zi4liu2,IV,,,宾,谓,定,,,,"对错误的东西,不能~/~的做法不对"
飞扬跋扈,fei1yang2ba2hu4,IV,,,,谓,定,状,,,~的作风/~地说
肺腑之言,fei4fu3zhi1yan2,IN,,主,宾,,,,,,这是~
分庭抗礼,fen1ting2kang4li3,IV,,,,谓,定,,,,小李与厂长~/采用~的办法不好
奋不顾身,fen4bu4gu4shen1,IV,,,,谓,,状,,,"~地与洪水搏斗/为了人民的利益,他们~,勇往直前"
奋发图强,fen4fa1tu2qiang2,IV,,,宾,谓,,,,,"我们一定要~,把祖国建设得更加美好"
丰功伟绩,feng1gong1wei3ji1,IN,,主,宾,,,,,,我们要记住他的~/立下~
风吹草动,feng1chui1cao3dong4,IN,,,宾,,,,,,"一有~,他们就蠢蠢欲动"
风言风语,feng1yan2feng1yu3,IN,,主,宾,,,,,,外面有~/~你不要听
风雨交加,feng1yu3jiao1jia1,IV,,,,谓,定,,,,~的夜晚
逢场作戏,feng2chang3zuo4xi4,IV,,,宾,谓,定,状,,,这人喜欢~/他不是一个~的人
浮想联翩,fu2xiang3lian2pian1,IV,,,,谓,,,,,"此情此景,令我~"
釜底抽薪,fu3di3chou1xin1,IV,,,宾,谓,定,,,,"要解决这个问题,采用~的办法"
负荆请罪,fu4jing1qing3zui4,IV,,,,谓,定,,,,用~的方法取得经理的信任
改头换面,gai3tou2huan4mian4,IV,,,,谓,定,状,,,"~的做法是不妥的/~地作了点修改,就向上级要功,……"
改邪归正,gai3xie2gui1zheng4,IV,,,宾,谓,定,,,,她已~了/~的失足青年
甘心情愿,gan1xin1qing2yuan4,IV,,,,谓,,状,,,"我们~来帮忙/帮助失学儿童,我们~"
感人肺腑,gan3ren2fei4fu3,IV,,,,谓,定,,,,这本爱国诗篇~
高抬贵手,gao1tai2gui4shou3,IV,,,宾,谓,,,,,"请~/经理~,在最忙的时候,准了小李的假"
高枕无忧,gao1zhen3wu2you1,IV,,,宾,谓,,,,,你可以~了
各奔前程,ge4ben4qian2cheng2,IV,,,,谓,,,,,兄弟姐妹~
各有千秋,ge4you3qian1qiu1,IV,,,,谓,,,,,这两件工艺品~
根深蒂固,gen1shen1di4gu4,IV,,,,谓,定,,,,封建势力~
公报私仇,gong1bao4si1chou2,IV,,,宾,谓,定,,,,他~/~的做法不得人心
狗血喷头,gou3xue4pen1tou2,IC,,,,,,,补,,被他骂得~
孤军奋战,gu1jun1fen4zhan4,IV,,,,谓,定,,,,"~的方法应该认真的论证,不能冒险"
古往今来,gu3wang3jin1lai2,IM,首,,,,定,状,,,"~,中国人民在这片土地上创造了无数惊天动地的业绩/他记得许多~的故事"
蛊惑人心,gu3huo4ren2xin1,IV,,,宾,谓,定,,,,这是~的宣传品/不要~
固步自封,gu4bu4zi4feng1,IV,,,宾,谓,定,,,,不要~
故步自封,gu4bu4zi4feng1,IV,,,宾,谓,定,,,,这是~的做法/反对~
故弄玄虚,gu4nong4xuan2xu1,IV,,,宾,谓,,状,,,他~地说
拐弯抹角,guai3wan1mo4jiao3,IV,,,宾,谓,定,状,,,他喜欢~/他~地说了半天
光彩夺目,guang1cai3duo2mu4,IV,,,,谓,定,,,,"太阳升起来了,~,气象万千"
归根结底,gui1gen1jie1di3,ID,首,,,,,状,,,~是个私字在作崇/~你确实做了一些错事
鬼迷心窍,gui3mi2xin1qiao4,IV,,,,谓,定,状,,,~的家伙/他~
鬼头鬼脑,gui3tou2gui3nao3,IC,,,,,定,状,补,,这孩子长得~/他在那儿~地干什么
滚瓜烂熟,gun3gua1lan4shu2,IC,,,,,,,补,,这首诗我背得~
过眼烟云,guo4yan3yan1yun2,IN,,,宾,,,,,,钱对于他只是~
害群之马,hai4qun2zhi1ma3,IN,,主,宾,,,,,,~不能留用
汗流浃背,han4liu2jia1bei4,IA,,,宾,谓,定,,补,,个个都是~/干得~/~的样子
豪言壮语,hao2yan2zhuang4yu3,IN,,主,宾,,,,,,"光有~,而不实干,又有什么用呢/~代替不了实干"
好高鹜远,hao4gao1wu4yuan3,IV,,,宾,谓,定,状,,,"~,终难成其大事/~地去写自己不熟悉的东西"
好事多磨,hao3shi4duo1mo2,IV,,,宾,谓,,,,,真是~啊!
和蔼可亲,he2ai3ke3qin1,IV,,,宾,谓,定,状,,,他总是让人觉得~
鹤立鸡群,he4li4ji1qun2,IV,,,宾,谓,,,,,"他在他们中间,像是~"
恨之入骨,hen4zhi1ru4gu3,IV,,,,谓,,,,,我们对他~
横行霸道,heng2xing2ba4dao4,IV,,,,谓,定,,,,"那帮家伙~/~的人,不会有好下场"
后发制人,hou4fa1zhi4ren2,IV,,,宾,谓,定,,,,采用~的办法
后来居上,hou4lai2ju1shang4,IV,,主,宾,谓,定,,,,"~的例子比比皆是/一大批年轻选手~/根据你的条件,~是有可能的"
厚此薄彼,hou4ci3bo2bi3,IV,,,宾,谓,定,,,,"父母对待子女,不能~"
胡思乱想,hu2si1luan4xiang3,IV,,主,宾,谓,,,,,~对解决问题没有帮助
胡作非为,hu2zuo4fei1wei2,IV,,,宾,谓,定,,,,"不能~/~的人,应该受到法律制裁"
虎视眈眈,hu3shi4dan1dan1,IV,,,,谓,定,状,,,狗~地看着那块骨头/~的样子/他们对我国领土~
花容玉貌,hua1rong2yu4mao4,IA,,主,,谓,,,补,,"长得~/那位女孩~,还有几分才学"
花天酒地,hua1tian1jiu3di4,IV,,,宾,谓,定,状,,,"这人~/他~地胡花,把家里的产业都搞光了"
花言巧语,hua1yan2qiao3yu3,IN,,主,宾,,定,状,,,"这人善于~/这种毫无内容,~的文章,只能骗小孩"
化公为私,hua4gong1wei2si1,IV,,,宾,谓,定,,,,~的现象时有发生/不能~
话中有话,hua4zhong1you3hua4,IV,,,,谓,,状,,,他~
欢聚一堂,huan1ju4yi1tang2,IV,,,宾,谓,,,,,我们~/我们哪一天才能~
患难之交,huan4nan4zhi1jiao1,IN,,主,宾,,,,,,我们俩人是~
灰心丧气,hui1xin1sang4qi4,IA,,,宾,谓,定,状,补,,"被整得~/看你整天~的样子,真叫人难受"
绘声绘色,hui4sheng1hui4se4,IC,,,,,定,状,补,,~地刻画了这个人的嘴脸/~的描述/她讲得~
毁于一旦,hui3yu2yi1dan4,IV,,,宾,谓,,,,,不能~/十几年心血~
昏头昏脑,hun1tou2hun1nao3,IA,,,,谓,,状,补,,看得~/~地说/这人一天到晚~的
浑水摸鱼,hun2shui3mo1yu2,IV,,,宾,谓,定,,,,他想~/~的人也有
混淆视听,hun4xiao2shi4ting1,IV,,,宾,谓,定,,,,~的做法/妄图~
火海刀山,huo3hai3dao1shan1,IN,,主,宾,,,,,,~我们也敢上/前面是~我也决不后退
火烧眉毛,huo3shao1mei2mao5,IV,,,,谓,定,,,,事情都到~的时候/目前形势都~了
饥寒交迫,ji1han2jiao1po4,IV,,,,谓,定,,,,起来!~的奴隶/难民们~
鸡毛蒜皮,ji1mao2suan4pi2,IB,,,,,定,,,,这一点~的小事
鸡犬不宁,ji1quan3bu4ning2,IA,,,,谓,,,补,,闹得~/整个村子~
积劳成疾,ji1lao2cheng2ji2,IV,,,,谓,,,,,老村长~
急起直追,ji2qi3zhi2zhui1,IV,,,宾,谓,定,,,,他有~的勇气/我们应该~
急中生智,ji2zhong1sheng1zhi4,IV,,,,谓,,状,,,~地说/他~
集思广益,ji2si1guang3yi4,IV,,,宾,谓,,,,,好的干部能够~/领导~
挤眉弄眼,ji3mei2nong4yan3,IV,,,宾,谓,定,状,,,他在一旁~
记忆犹新,ji4yi4you2xin1,IV,,,,谓,,,,,这件事大家~
加油添醋,jia1you2tian1cu4,IN,,,宾,,定,状,,,"~的话,不能听"
家喻户晓,jia1yu4hu4xiao3,IV,,,,谓,定,,,,岳飞的故事~
价廉物美,jia4lian2wu4mei3,IV,,,,谓,定,,,,用这种布做衣服~
假戏真做,jia3xi4zhen1zuo4,IV,,,宾,谓,,,,,这是~
坚持不懈,jian1chi2bu4xie4,IV,,,宾,谓,定,状,,,"~地努力,一定能学到很多东西/~的精神"
坚韧不拔,jian1ren4bu4ba2,IM,,,,,定,状,,,~地努力奋斗/有~的意志
艰苦奋斗,jian1ku3fen4dou4,IV,,主,宾,谓,定,,,,我们要~/~是我们民族的传统美德
见风使舵,jian4feng1shi3duo4,IV,,,宾,谓,定,,,,这人善于~
见钱眼开,jian4qian2yan3kai1,IV,,,宾,谓,定,,,,~的小人
见义勇为,jian4yi4yong3wei2,IV,,,宾,谓,定,,,,他~的精神受到人们的赞扬
将信将疑,jiang1xin4jiang1yi2,IV,,,,谓,定,状,,,"对气功的神奇疗效,我~/他用~的目光看着我"
骄傲自满,jiao1ao4zi4man3,IV,,主,宾,谓,定,状,,,~是进步的敌人
绞尽脑汁,jiao3jin4nao3zhi1,IV,,,,谓,,状,,,"这道题我~想,也没想出来"
皆大欢喜,jie1da4huan1xi3,IV,,,,谓,定,,,,"~的事,我何乐而不为呢"
结党营私,jie2dang3ying2si1,IV,,,宾,谓,定,,,,~的现象，不能继续下去
借刀杀人,jie4dao1sha1ren2,IV,,,宾,谓,定,,,,
借题发挥,jie4ti2fa1hui1,IV,,,宾,谓,,,,,他是~
金碧辉煌,jin1bi4hui1huang2,IA,,,,谓,定,,补,,人民大会堂~
津津有味,jin1jin1you3wei4,IA,,,,谓,,状,补,,吃起来~/吃得~/他~地听老师讲故事
锦绣河山,jin3xiu4he2shan1,IN,,主,宾,,,,,,"~,中华儿女都热爱你"
尽人皆知,jin4ren2jie1zhi1,IV,,,宾,谓,定,,,,他的野心~/这件事是~的
尽心竭力,jin4xin1jie2li4,IV,,,,谓,,状,,,
惊恐万状,jing1kong3wan4zhuang4,IV,,,宾,谓,定,状,,,"又是骂又是打,小孩更是~"
精兵简政,jing1bing1jian3zheng4,IV,,,宾,谓,定,,,,~的措施
精打细算,jing1da3xi4suan4,IV,,,宾,谓,定,状,,,他~地过日子/用钱需要~/她是一个~的人/处处都~
精明强干,jing1ming2qiang2gan4,IV,,,,谓,定,,,,这位经理~/~的人
精益求精,jing1yi4qiu2jing1,IV,,,宾,谓,定,,,,"对自己的工作应该~/他~,一次次修改自己的文章"
井井有条,jing3jing3you3tiao2,IA,,,,谓,,,补,,工作安排得~
酒囊饭袋,jiu3nang2fan4dai4,IN,,主,宾,,,,,,这样的~怎么能当领导呢
救死扶伤,jiu4si3fu2shang1,IV,,,宾,谓,定,,,,医生的天职是~
居高临下,ju1gao1lin2xia4,IV,,,,谓,,状,,,
居心叵测,ju1xin1po3ce4,IV,,,,谓,定,状,,,~地说/~的人
举国上下,ju3guo2shang4xia4,IN,,主,,,,,,,~欢度国庆节
举世闻名,ju3shi4wen2ming2,IV,,,,谓,定,,,,~的二万五千里长征
聚精会神,ju4jing1hui4shen2,IM,,,,,定,状,,,他~地做作业/~的模样
开门见山,kai1men2jian4shan1,IV,,,宾,谓,定,状,,,"说话、写文章,我喜欢~"
看风使舵,kan4feng1shi3duo4,IV,,,宾,谓,定,,,,"~的人,往往会……"
可歌可泣,ke3ge1ke3qi4,IV,,,,谓,定,,,,~的英雄业绩/这件事~
克己奉公,ke4ji3feng4gong1,IV,,,宾,谓,定,,,,
刻骨铭心,ke4gu3ming2xin1,IV,,,,谓,定,状,,,这件事我~地记着/~的教训
空前绝后,kong1qian2jue2hou4,IV,,,,谓,定,,,,这种场面~
空中楼阁,kong1zhong1lou2ge2,IN,,主,宾,,,,,,
夸大其词,kua1da4qi2ci2,IV,,,宾,谓,,状,,,"这人说话,总喜欢~"
宽宏大量,kuan1hong2da4liang4,IV,,,宾,谓,定,,,,小李~/领导要~
来龙去脉,lai2long2qu4mai4,IN,,主,宾,,,,,,事情的~搞清楚了
狼狈为奸,lang2bei4wei2jian1,IV,,,宾,谓,,,,,你们俩不要~
狼心狗肺,lang2xin1gou3fei4,IV,,,,谓,定,,,,"这家伙~,不能和他交往"
劳民伤财,lao2min2shang1cai2,IV,,,,谓,定,,,,干这件事~
老奸巨猾,lao3jian1ju4hua2,IV,,,,谓,定,,,,
老羞成怒,lao3xiu1cheng2nu4,IV,,,,谓,定,状,,,他~地破口大骂/~的样子
雷厉风行,lei2li4feng1xing2,IV,,,,谓,定,状,,,这人干事~/~地干起来了
里应外合,li3ying4wai4he2,IV,,,宾,谓,,,,,"要拿下这个山头,需要~/这次行动~"
理直气壮,li3zhi2qi4zhuang4,IA,,,宾,谓,定,状,补,,小马~地说/他说得~
力争上游,li4zheng1shang4you2,IV,,,宾,谓,定,,,,要有~的精神
厉行节约,li4xing2jie2yue1,IN,,主,宾,,定,,,,我们要~
例行公事,li4xing2gong1shi4,IV,,,宾,谓,,状,,,检查也就是~/~地翻了一下
良师益友,liang2shi1yi4you3,IN,,主,宾,,,,,,他是我的~
梁上君子,liang2shang4jun1zi3,IN,,主,宾,,,,,,那个~被人发现了/大家叫他~
量力而行,liang4li4er2xing2,IV,,,宾,谓,,,,,你~吧
了如指掌,liao3ru2zhi3zhang3,IV,,,,谓,,,,,我对她~
临危不惧,lin2wei1bu4ju4,IV,,,,谓,定,状,,,"~地站在前线指挥战斗/英雄们~的故事,小孩很爱听"
淋漓尽致,lin2li2jin4zhi4,IC,,,,,,状,补,,刻画得~/~地刻画了他的性格
令人神往,ling4ren2shen2wang3,IV,,,宾,谓,定,,,,~的地方/桂林山水~
流芳百世,liu2fang1bai3shi4,IV,,,宾,谓,定,,,,岳飞的爱国精神~/~的伟人
流言蜚语,liu2yan2fei1yu3,IN,,主,宾,,,,,,散布~
龙腾虎跃,long2teng2hu3yue4,IV,,,,谓,定,,,,"操场上~,热火朝天"
炉火纯青,lu2huo3chun2qing1,IB,,,,,定,,,,~的地步
驴年马月,lv2nian2ma3yue4,IN,,,宾,,定,,,,"等到~,事情有可能解决/那是~的事"
屡教不改,lv3jiao4bu4gai3,IV,,,,谓,定,,,,这人是~的惯犯
略知一二,lve4zhi1yi1er4,IV,,,,谓,,,,,这件事我~
落荒而逃,luo4huang1er2tao2,IA,,,,谓,定,,补,,他们被打得~/~的敌军
麻痹大意,ma2bi4da4yi4,IV,,,宾,谓,定,,,,"张三~,钱包丢了/也有~的时候"
埋头苦干,mai2tou2ku3gan4,IV,,,宾,谓,定,,,,~的精神/小李喜欢~
蛮横无理,man2heng4wu2li3,IV,,,,谓,定,状,,,这个人~
满城风雨,man3cheng2feng1yu3,IC,,,,,,,补,,闹得~
满面春风,man3mian4chun1feng1,IV,,,,谓,定,状,,,"老李今天~/她~地说:""我们的项目得奖了。"""
满园春色,man3yuan2chun1se4,IN,,主,宾,,,,,,"春天百花争艳,真是~/~让人陶醉"
漫不经心,man4bu4jing1xin1,IV,,,,谓,定,状,,,他~地说
毛骨悚然,mao2gu3song3ran2,IA,,,宾,谓,,,补,,"感到~/听到那凄厉的叫声,人人~"
眉飞色舞,mei2fei1se4wu3,IV,,,,谓,定,状,,,那个人~地说
闷闷不乐,men4men4bu4le4,IV,,,,谓,定,状,,,一副~的样子/她整天~
弥天大谎,mi2tian1da4huang3,IN,,,宾,,,,,,他撒了个~
面黄肌瘦,mian4huang2ji1shou4,IA,,,,谓,定,,补,,饿得~/小孩~
面目全非,mian4mu4quan2fei1,IA,,,,谓,,,补,,文章改得~
妙趣横生,miao4qu4heng2sheng1,IV,,,,谓,定,,,,小马的发言~
名不虚传,ming2bu4xu1chuan2,IV,,,,谓,,,,,"""桂林山水甲天下""~"
名列前茅,ming2lie4qian2mao2,IV,,,,谓,定,,,,"他品学兼优,考试成绩~"
名正言顺,ming2zheng4yan2shun4,IV,,,,谓,定,状,,,这样处理~/~地批评/这是~的事情
明辨是非,ming2bian4shi4fei1,IV,,,宾,谓,定,,,,希望你能~/~的能力
明目张胆,ming2mu4zhang1dan3,IN,,,宾,,定,状,,,"这个人~地干坏事/不敢~/~的活动,目前未发现"
明知故犯,ming2zhi1gu4fan4,IV,,,宾,谓,定,,,,"你是~,所以处理要加重"
冥思苦想,ming2si1ku3xiang3,IV,,,,谓,定,,,,"~的结果/这事他~,始终没有找到好的办法"
莫明其妙,mo4ming2qi2miao4,IA,,,宾,谓,定,状,补,,他感到~/他被问得~
墨守陈规,mo4shou3chen2gui1,IV,,,宾,谓,定,,,,这个人只知道~
目不忍睹,mu4bu4ren3du3,IV,,,宾,谓,定,,,,这件事大家~/~的场面
目不转睛,mu4bu4zhuan3jing1,ID,,,,,,状,,,~地看着他
耐人寻味,nai4ren2xun2wei4,IV,,,宾,谓,定,,,,鲁迅的文章~/他这句话确实是~
南征北战,nan2zheng1bei3zhan4,IV,,,,谓,定,,,,"他们为了中国的民主,自由~/~的将军"
能说会道,neng2shuo1hui4dao4,IV,,,,谓,定,,,,这个人~
能者为师,neng2zhe3wei2shi1,IV,,,,谓,,,,,
年富力强,nian2fu4li4qiang2,IV,,,,谓,定,,,,"这批干部~,可以领导大家大干一番"
宁缺毋滥,ning4que1wu2lan4,IV,,,,谓,定,,,,"选劳模,选标兵,要严格地挑选,~/本着~的精神选优秀干部"
宁死不屈,ning2si3bu4qu1,IV,,,,谓,定,,,,
牛郎织女,niu2lang2zhi1nv3,IN,,主,宾,,定,,,,"~的故事,大人小孩都知道"
弄虚作假,nong4xu1zuo4jia3,IV,,,宾,谓,定,,,,反对~
