词语,全拼音,系位,序数,缩略,前助,中助,后助,后助量后,数量词,限定数词,后量,前副,重叠,AABB,兼类,备注
八,ba1,系,,,,,,,,,,,,,,
百,bai3,位,,,,,,,,,,,,,,
百分之,bai3fen1zhi1,,,,前,,,,,,,,,,,
百年,bai3nian2,,,,,,,,是,,,近,,,,
百万,bai3wan4,,,,,,,,,是,,"约,近",,,,~大军
半,ban4,,,,,,,,,,,,,,,年过~百/~吨/女婿算~个儿子
半截,ban4jie2,,,,,,,,是,,,就,,,,~黄瓜
半晌,ban4shang3,,,,,,,,,是,,"就,仅",,,,仅~就干完了
半数,ban4shu4,,,,,,,,,是,,"约,仅",,,,
半天,ban4tian1,,,,,,,,是,,,"老,就",,,,
不久,bu4jiu3,,,,,,,,,是,,,,,,他~出国了/刚走~/过了~
不少,bu4shao3,,,,,,,,,是,可,,,,,~箱
初,chu1,,,,前,,,,,,,,,,df,~三
大半,da4ban4,,,,,,,,,是,可,,,,d,大部分:同学来了~/少数民族~能歌善舞/可能性大:他~不来了(d)
大部分,da4bu4fen4,,,,,,,,,是,,,,,,今晚~人去看电影
大多数,da4duo1shu4,,,,,,,,,是,,,,,,~同学参加联欢会
大量,da4liang4,,,,,,,,,是,,,,,,搜集了~的资料
大批,da4pi1,,,,,,,,,是,,,ABAB,,,~食品运往国外
大宗,da4zong1,,,,,,,,,是,,,,,,~货物运往边疆
第,di4,,,,前,,,,,,,,,,,
第二,di4er4,,序,,,,,,,,,也许,,,,
第一,di4yi1,,序,,,,,,,,,也许,,,,
点,dian3,,,,,中,,,,,,,,,qvn,小数点:三~二
多,duo1,,,,,,后,,,,,,,,avd,30~公斤/三年~/我看过~次
多半,duo1ban4,,,,,,,,,是,,,,,d,超过半数:开会的人~来了/这个班一~女生/大概:小王~不来了(d)
多年,duo1nian2,,,,,,,,是,,,,,,,
多时,duo1shi2,,,,,,,,,是,,,,,,
多数,duo1shu4,,,,,,,,,是,,,,,,~人赞成这一方案
多样,duo1yang4,,,,,,,,,是,,,,,,
多种,duo1zhong3,,,,,,,,,是,,,,,,~植物春天开花
二,er4,系,,,,,,,,,,,,,,
分之,fen1zhi1,,,,,中,,,,,,,,,,八~一
挂零,gua4ling2,,,,,,后,,,,,,,,,他已50岁~
好多,hao3duo1,,,,,,,,,是,可,,ABAB,,,~天
好几,hao3ji3,,,,前,,后,否,,,,,,,,他已50~了/~万斤粮食/~年了
好久,hao3jiu3,,,,,,,,,是,,,ABAB,,,
好些,hao3xie1,,,,,,,,,是,可,,,,,~年
很多,hen3duo1,,,,,,,,,是,可,不,ABAB,,,
几,ji3,系,,,,,,,,,,,,,,~斤/十~个小时过去了
九,jiu3,系,,,,,,,,,,,,,,
来,lai2,,,,,,后,否,,,,,,,fvuy,30~岁
俩,lia3,,,缩,,,,,,,,,,,,~人
两,liang3,系,,,,,,,,,,,,,q,
零,ling2,,,,,中,,,,,,,,,,一百~一
六,liu4,系,,,,,,,,,,,,,,
廿,nian4,,,缩,,,,,,,,,,,,~人
片刻,pian4ke4,,,,,,,,,是,,,,,,
七,qi1,系,,,,,,,,,,,,,,
千,qian1,位,,,,,,,,,,,,,,
千百万,qian1bai3wan4,,,,,,,,,是,可,,,,,~个人
千万,qian1wan4,,,,,,,,,是,可,,,AABB,d,~颗人头落地
若干,ruo4gan1,,,,,,,,,是,可,,,,,分成~份儿/过了~天
卅,sa4,,,缩,,,,,,,,,,,,五~运动
三,san1,系,,,,,,,,,,,,,,
少量,shao3liang4,,,,,,,,,是,,仅,,,,
少数,shao3shu4,,,,,,,,,是,,仅仅,,,,
少许,shao3xu3,,,,,,,,,是,,仅,,,,
十,shi2,兼,,,,,,,,,,,,,,"""十万/十亿"",看作复合位数词"
数,shu4,,,,前,,,,,,,,,,n,~百种新产品
双,shuang1,,,,,,,,,,,,MM,,q,~方/~脚/~倍
四,si4,系,,,,,,,,,,,,,,~人
肆,si4,系,,,,,,,,,,,,,,
万,wan4,位,,,,,,,,,,,,,,
万年,wan4nian2,,,,,,,,是,,,近,,,,
万千,wan4qian1,,,,,,,,,,,,,,,变化~
无数,wu2shu4,,,,,,,,,是,可,,,,,~优秀儿女/天上星星多得~/~张面孔
五,wu3,系,,,,,,,,,,,,,,
许多,xu3duo1,,,,,,,,,是,可,,ABAB,AABB,,吃的东西有~/~新品种/漂亮了~/~辆汽车
一,yi1,系,,,,,,,,,,,MM,,d,
一半,yi1ban4,,,,,,,,,是,,"约,仅,就",,,,你也~
一辈子,yi1bei4zi5,,,,,,,,是,,,,,,,
一部分,yi1bu4fen5,,,,,,,,,是,,仅仅,,,,只用了仅仅~水泥
一点,yi1dian3,,,,,,,,是,,,就,,,,
一点儿,yi1dianr3,,,,,,,,是,,,就,,,,
一丁点儿,yi1ding1dianr3,,,,,,,,是,,,就,,,,就~
一多半,yi1duo1ban4,,,,,,,,,是,,,,,,这个工厂~是女工/今天~人迟到
一番,yi1fan1,,,,,,,,是,,,,,,,他思考了~
一个,yi1ge4,,,,,,,,是,,,"就,仅",ABAB,,,
一忽儿,yi1hur1,,,,,,,,,是,,"只,就",,,,
一会儿,yi1huir4,,,,,,,,是,,,"仅,就",,,,
一刻,yi1ke4,,,,,,,,是,,,,,,,玩~就回家
一路,yi1lu4,,,,,,,,是,,,,,,,~货色/我们不~/~走
一下,yi1xia4,,,,,,,,是,,,就,,,,打了~/讨论~/~热~冷
一小撮,yi1xiao3cuo1,,,,,,,,是,,,"只,仅,就",,,,
一些,yi1xie1,,,,,,,,是,,,,,,,~人/病好~
一阵,yi1zhen4,,,,,,,,是,,,"只,就",ABAB,,,~风~雨/~掌声
一阵子,yi1zhen4zi5,,,,,,,,是,,,"只,就",,,,
一整套,yi1zheng3tao4,,,,,,,,是,,,,,,,~规章制度
亿,yi4,位,,,,,,,,,,,,,,
亿万,yi4wan4,,,,,,,,,是,可,,,,,~年
余,yu2,,,,,,后,否,,,,,,,v,200~立方米
兆,zhao4,位,,,,,,,,,,,,,,
众多,zhong4duo1,,,,,,,,,,,,,,,人口~/~的建设者
左右,zuo3you4,,,,,,后,,,,,,,,v,30岁~/20~/支配;操纵:~局势(v)
