词语,全拼音,同形,前时,后时,在时,到时,等到,时态,兼类,备注
八月,ba1yue4,,,,,,,,,今年~
白露,bai2lu4,,,否,否,,,,,
白天,bai2tian1,,,否,,,,,,今天~
半夜,ban4ye4,,,,,,,,,~3点钟
傍晚,bang4wan3,,,,,,,,,
本世纪,ben3shi4ji4,,否,,,,,,,
产褥期,chan3ru4qi1,,否,,,,,,,"~后期,可以适当做些家务活儿"
初春,chu1chun1,,,,,,,,,
初伏,chu1fu2,,,,,,,,,~后期
初期,chu1qi1,,,否,,否,否,,,本世纪~
初夏,chu1xia4,,,,,,,,,
处暑,chu3shu3,,,否,否,,,,,节气名
春分,chun1fen1,,,否,否,,,,,节气名
春季,chun1ji4,,,,,,,,,~后期
春节,chun1jie2,,,,,,,,,~晚上
春天,chun1tian1,,,,,,,,,
此刻,ci3ke4,,否,否,,否,否,,,
此时,ci3shi2,,否,否,,,,,,
次日,ci4ri4,,否,,,,,,,~凌晨
从前,cong2qian2,,否,否,,否,否,过,,
大寒,da4han2,,,否,否,,,,,节气名
大暑,da4shu3,,,否,否,,,,,节气名
大雪,da4xue3,,,否,否,,,,,节气名
当初,dang1chu1,,否,否,,否,否,过,,
当代,dang1dai4,,否,否,,否,否,,,~青年
当今,dang1jin1,,否,否,,否,否,,,
当年,dang1nian2,A,否,否,,否,否,过,,指过去某一时间:~我上小学的时候
当年,dang4nian2,B,否,,,否,否,,,"同一年:~冬天/这种植物,~种,在~就可以收获"
当前,dang1qian2,,否,否,,否,否,,,
当日,dang1ri4,A,否,否,,否,否,过,,当初
当日,dang4ri4,B,否,,,否,否,,,"当天:~事,~完成/~晚上"
当时,dang1shi2,A,否,否,,否,否,过,,"指过去发生某件事情的时候:~不清楚,事后才知道"
当时,dang4shi2,B,否,否,,否,否,,,"马上,立刻:他一听到这个消息,~就晕倒了"
当天,dang4tian1,,否,,,否,否,,,
当晚,dang4wan3,,否,,,否,否,,,
当夜,dang4ye4,,否,,,否,否,,,
灯节,deng1jie2,,,,,,,,,
冬季,dong1ji4,,,,,,,,,
冬天,dong1tian1,,,,,,,,,
冬至,dong1zhi4,,,否,否,,,,,节气名
端午节,duan1wu3jie2,,,,,,,,,
二月,er4yue4,,,,,,,,,
饭后,fan4hou4,,,否,,,,,,
饭前,fan4qian2,,,否,,,,,,
伏天,fu2tian1,,,,,,,,,
拂晓,fu2xiao3,,,否,,,,,,
刚才,gang1cai2,,否,否,,,否,过,,到~为止收了160封表扬信
古代,gu3dai4,,否,否,,否,否,过,,
古时,gu3shi2,,否,否,,否,否,过,,
谷雨,gu3yu3,,,否,否,,,,,节气名
国庆节,guo2qing4jie2,,,,,,,,,今年~/~晚上
过去,guo4qu4,,否,否,,否,否,过,v,
寒露,han2lu4,,,否,否,,,,,节气名
后来,hou4lai2,,否,否,否,,,过,,
后年,hou4nian2,,否,,,,,未,,
后期,hou4qi1,,,否,,,,,,18世纪~
后天,hou4tian1,,否,,,,,未,,
花期,hua1qi1,,,,,,,,,
黄昏,huang2hun1,,,否,,,,,,
即日,ji2ri4,,否,,否,否,否,,,~下午启程
将来,jiang1lai2,,否,否,,,,未,,
节后,jie2hou4,,,否,,,,,,
节假日,jie2jia4ri4,,否,,,,,,,"""后时""粘着/~晚上特别要注意防盗"
今朝,jin1zhao1,,否,否,,,,,,
今晨,jin1chen2,,否,,,,,,,
今后,jin1hou4,,否,否,否,否,否,未,,
今年,jin1nian2,,否,,,,,,,
今日,jin1ri4,,,,,,,,,去年~
今天,jin1tian1,,,,,,,,,前年~
近代,jin4dai4,,否,否,,,否,过,,
近年,jin4nian2,,否,否,否,,否,过,,~中国的经济开始腾飞/一直到~山区人民才真正脱贫致富
近期,jin4qi1,,否,否,,否,否,,,
近日,jin4ri4,,否,否,,否,否,,,
惊蛰,jing1zhe2,,,否,否,,,,,节气名
旧日,jiu4ri4,,否,否,,否,否,过,,
旧时,jiu4shi2,,否,否,,否,否,过,,
课间,ke4jian1,,,否,,,,,,今天~请你来办公室一下
课外,ke4wai4,,否,否,,否,否,,,~活动丰富多采
腊月,la4yue4,,,,,,,,,~初一
来年,lai2nian2,,否,,,,,未,,~八月
来日,lai2ri4,,否,否,否,否,,未,,
劳动节,lao2dong4jie2,,,,,,,,,
老年,lao3nian2,,否,否,,,,,,
冷天,leng3tian1,,,否,,,,,,今年~日子不好过
黎明,li2ming2,,,否,,,,,,到~开始反攻/明天~/在~出发
立春,li4chun1,,,否,否,,,,,节气名
立冬,li4dong1,,,否,否,,,,,节气名
立秋,li4qiu1,,,否,否,,,,,节气名
立夏,li4xia4,,,否,否,,,,,节气名
凌晨,ling2chen2,,,,,,,,,今天~/~两点
零点,ling2dian3,,,,,,,,,~二十分
芒种,mang2zhong4,,,否,否,,,,,节气名
明代,ming2dai4,,否,,,,否,过,,
明年,ming2nian2,,否,,,,,未,,
明日,ming2ri4,,否,,,,,未,,
明天,ming2tian1,,否,,,,,未,,
明晚,ming2wan3,,否,,,,,未,,
目前,mu4qian2,,否,否,,,否,,,"到~为止,我国选手获得金牌数排名第二"
暮年,mu4nian2,,否,否,,,,,,
年初,nian2chu1,,,否,,,,,,
年底,nian2di3,,,否,,,,,,今年~以前交清
年终,nian2zhong1,,,否,,,,,,明年~结账
平日,ping2ri4,,否,否,,否,否,,,
平时,ping2shi2,,否,否,,否,否,,,
其后,qi2hou4,,否,否,否,否,否,,,
前年,qian2nian2,,否,,,,,过,,我家一直等到~才解决住房问题
前期,qian2qi1,,,否,,否,否,,,
前天,qian2tian1,,否,,,,,过,,一直等到~才拿到批文
清晨,qing1chen2,,,,否,,,,,
清明节,qing1ming2jie2,,,,,,,,,
清早,qing1zao3,,,,否,,,,,~5点出发
秋分,qiu1fen1,,,否,否,,,,,
秋季,qiu1ji4,,,,,,,,,
秋天,qiu1tian1,,,,,,,,,
去年,qu4nian2,,否,,,,,过,,一直等到~这座桥才竣工
日后,ri4hou4,,否,否,否,,,未,,
日前,ri4qian2,,否,否,否,否,否,过,,
如今,ru2jin1,,否,否,否,,否,,,
三伏,san1fu2,,,,,,,,,有时~后期最热
三月,san1yue4,,,,,,,,,
晌午,shang3wu5,,,,,,,,,
上半年,shang4ban4nian2,,,,,,否,,,~年初
上午,shang4wu3,,,,,,,,,
上旬,shang4xun2,,,否,,,,,,
深秋,shen1qiu1,,,否,,,,,,
深夜,shen1ye4,,,,,,,,,
生前,sheng1qian2,,否,否,,否,否,,,在~就立了遗嘱
盛夏,sheng4xia4,,,,,,,,,
时下,shi2xia4,,否,否,,,否,,,
事后,shi4hou4,,否,否,,,,,,
事前,shi4qian2,,否,否,,否,否,过,,
暑期,shu3qi1,,,,,,,,,~晚上天天看电视
暑天,shu3tian1,,,,,,,,,
宋朝,song4chao2,,否,,,,否,过,,~后期
岁末,sui4mo4,,,否,,,,,,
童年,tong2nian2,,否,否,,,否,,,回到~
晚年,wan3nian2,,否,否,,,,,,
晚期,wan3qi1,,否,否,,,,,,
晚秋,wan3qiu1,,,否,,,,,,
晚上,wan3shang5,,,,,,,,,
往常,wang3chang2,,否,否,,否,否,过,,
往后,wang3hou4,,,,否,否,否,未,,
往年,wang3nian2,,否,,,否,否,过,,"~三月天气还很冷,今年三月很暖和了"
未来,wei4lai2,,否,否,,,否,未,,
五一,wu3yi1,,,,,,,,,
五月,wu3yue4,,,,,,,,,
午后,wu3hou4,,,,,,,,,
午间,wu3jian1,,,,,,,,,
昔日,xi1ri4,,否,否,,否,否,过,,
下午,xia4wu3,,,,,,,,,
下旬,xia4xun2,,,否,,,,,,
夏季,xia4ji4,,,,,,,,,
夏天,xia4tian1,,,,,,,,,
夏至,xia4zhi4,,,否,否,,,,,节气名
先前,xian1qian2,,否,否,,否,否,过,,
现代,xian4dai4,,否,否,,,否,,,
现阶段,xian4jie1duan4,,否,否,,,否,,,
现今,xian4jin1,,否,否,,,否,,,这种发式~不时兴了
现时,xian4shi2,,否,否,,否,否,,,
现在,xian4zai4,,否,否,,,,,,等到~小李还没来
新年,xin1nian2,,,,,,,,,~晚上
星期一,xing1qi1yi1,,,,,,,,,
汛期,xun4qi1,,,,,,,,,~初期
夜间,ye4jian1,,,,,,,,,今天~
夜里,ye4li3,,,,,,,,,
一月,yi1yue4,,,,,,,,,
以往,yi3wang3,,否,,,否,否,过,,~春节很热闹
幼年,you4nian2,,否,否,,,否,,,
雨季,yu3ji4,,,,,,,,,~初期
元旦,yuan2dan4,,,,,,,,,
元月,yuan2yue4,,,,,,,,,
月初,yue4chu1,,,否,,,,,,
月底,yue4di3,,,否,,,,,,
月中,yue4zhong1,,,否,,,,,,
早晨,zao3chen2,,,,,,,,,
早春,zao3chun1,,,,,,,,,
早年,zao3nian2,,否,否,,否,否,过,,
早期,zao3qi1,,否,否,,否,否,,,
早上,zao3shang5,,,,,,,,,
战后,zhan4hou4,,否,否,,,,,,
战前,zhan4qian2,,否,否,,,,,,
战时,zhan4shi2,,否,否,,,,,,
正月,zheng1yue4,,,,,,,,,~十五
中伏,zhong1fu2,,,,,,,,,~末期
中年,zhong1nian2,,否,否,,,,,,
中期,zhong1qi1,,否,否,,,,,,
中秋,zhong1qiu1,,,,,,,,,~晚上
中世纪,zhong1shi4ji4,,否,,,,,过,,一直等到~才消灭了奴隶制度
中午,zhong1wu3,,,,,,,,,
中旬,zhong1xun2,,,否,,,,,,八月~
重阳,chong2yang2,,,否,,,,,,
周末,zhou1mo4,,,,,,,,,
壮年,zhuang4nian2,,否,否,,,,,,
子夜,zi3ye4,,,,,,,,,
最后,zui4hou4,,,否,,,,,f,
最近,zui4jin4,,否,,,,,,,这个问题一直等到~才解决
昨天,zuo2tian1,,否,,,,,过,,一直等到~才给我答复
昨晚,zuo2wan3,,否,,,,,过,,
